e,Treatment Function Title,Comments
140,Oral Surgery Service,"SERVICESfor the diagnosis and surgical treatment of diseases, injuries and defects of hard and soft tissues of the mouth. Excludes departments delivering a SERVICE where oral surgery and maxillofacial services are mixed (i.e. an out-patient clinic accepting oral surgery and maxillofacial surgery patients) - see TREATMENT FUNCTION CODE 145. For further information, see: British Association of Oral Surgeons Specialty Training Curriculum - Oral Surgery"
141,Restorative Dentistry Service,"SERVICESproviding examination and treatment of diseases of the oral cavity, the teeth and their supporting structures. Restorative Dentistry includes the dental specialties of Endodontics, Periodontics and Prosthodontics (including implantology), and its foundation is based upon how these interact in the management of cases requiring multifaceted care. For further information, see: British Society for Restorative Dentistry"
143,Orthodontic Service,"SERVICESfor the treatment of malocclusions (improper bites). Orthodontic treatment can focus on dental displacement only, or can deal with the control and modification of facial growth. For further information, see: British Orthodontic Society"
144,Maxillofacial Surgery Service,"Professional recommendation is to use Oral and Maxillofacial Surgery Service where this SERVICE is combined with oral surgery - see TREATMENT FUNCTION CODE 145. Alternatively, for oral surgery services only see TREATMENT FUNCTION CODE 140. This code has been retained for existing SERVICES which only provide maxillofacial surgery."
145,Oral and Maxillofacial Surgery Service,"Combined SERVICES providing diagnosis and surgical treatment of diseases, injuries and defects involving hard and soft tissues of the mouth, jaws, and neck. These SERVICES may have formerly been categorised as TREATMENT FUNCTION CODE 140 (Oral Surgery Service) or TREATMENT FUNCTION CODE 144 (Maxillofacial Surgery Service). For further information, see: British Association of Oral & Maxillofacial Surgeons"
149,not a Treatment Function,
150,Neurosurgical Service,"Surgical SERVICES for the treatment of disorders of the nervous system including the brain, spinal cord, peripheral nerves, and extra-cranial cerebrovascular system. Excludes Spinal Surgery Service - see  TREATMENT FUNCTION CODE 108. For major trauma centres use Trauma Surgery Service - see TREATMENT FUNCTION CODE 115. For further information, see: Royal College of Surgeons - Neurosurgery"
160,Plastic Surgery Service,"SERVICESto correct or restore form and function. In addition to cosmetic or aesthetic surgery, plastic surgery includes many types of reconstructive surgery, and the treatment of burns. For care given within specialist burn services, use Burns Care Service - see TREATMENT FUNCTION CODE 161. Excludes breast surgery for gender dysphoria, use Breast Surgery Service - see TREATMENT FUNCTION CODE 103. For further information, see: Royal College of Surgeons - Plastic and Reconstructive"
161,Burns Care Service,"SERVICESfor the surgical and non-surgical treatment of burns within recognised specialist burns units and associated outreach SERVICES only. Whilst this does not signify the CRITICAL CARE LEVEL, many PATIENTS will also come within the scope of the Critical Care Minimum Data Set. For further information, see: British Burn Association"
170,Cardiothoracic Surgery Service,"SERVICESdelivering surgical treatment of diseases affecting the heart and organs inside the thorax (the chest). Should only be used where there are no separate SERVICES for Cardiac Surgery and Thoracic Surgery. For further information, see: Royal College of Surgeons - Cardiothoracic Surgery"
172,Cardiac Surgery Service,"SERVICESdelivering surgical treatment of diseases affecting the heart. Procedures are often lengthy and complex, requiring support from advanced forms of technology during surgery and CRITICAL CARE LEVEL 2 and 3 for the PATIENT after surgery. For further information, see: Royal College of Surgeons - Cardiothoracic Surgery"
173,Thoracic Surgery Service,"SERVICESproviding surgical treatment of diseases affecting organs inside the thorax (the chest). Generally, treatment of conditions of the lungs, chest wall, and diaphragm. Predominantly this is surgical treatment of malignant disease or its effects. For further information, see: Royal College of Surgeons - Cardiothoracic Surgery"
174,Cardiothoracic Transplantation Service,"SERVICESfor pre- and post-operative care for heart and lung transplants. To be used by recognised specialist units and associated outreach services only. For further information, see: Royal College of Surgeons - Cardiothoracic Surgery"
"Other Children's Specialist Services -The Paediatric TREATMENT FUNCTION CODES represent CLINICS OR FACILITIES intended to provide dedicated SERVICES to children with appropriate facilities and support staff, i.e. they are designed for children only. If a  CLINIC OR FACILITY provides this but also treats adult PATIENTS as part of the SERVICE then a Paediatric TREATMENT FUNCTION CODE may not be appropriate. The age of the PATIENT attending does not initiate a change to the TREATMENT FUNCTION CODE for the ACTIVITY.",,
142,Paediatric Dentistry Service,"Dedicated children's SERVICES for dentistry with appropriate facilities and support staff. For further information, see: The British Society of Paediatric Dentistry"
171,Paediatric Surgery Service,"Dedicated children's SERVICES  for general surgery. For further information, see: Royal College of Surgeons - Paediatric Surgery"
211,Paediatric Urology Service,"Dedicated children's SERVICES for surgical treatment of disorders of the urinary system and male reproductive system. For further information, see: British Association of Paediatric Surgeons - Urology"
212,Paediatric Transplantation Surgery Service,"Dedicated children's SERVICES for pre- and post-operative care for major organ transplants except heart and lung. Excludes Paediatric Cardiac Surgery Service - see TREATMENT FUNCTION CODE 221, Paediatric Thoracic Surgery Service - see TREATMENT FUNCTION CODE 222, corneal grafts carried out by Paediatric Ophthalmology Service - see TREATMENT FUNCTION CODE 216 and Blood and Bone Marrow Transplantation Service - see TREATMENT FUNCTION CODE 308. For further information, see: Royal College of Surgeons - General Surgery"
213,Paediatric Gastrointestinal Surgery Service,"Dedicated children's SERVICES  for surgical treatment of disorders of the gastrointestinal tract. For further information, see: British Association of Paediatric Surgeons - Gastrointestinal"
214,Paediatric Trauma and Orthopaedic Service,"Dedicated children's SERVICES to treat injuries, congenital and acquired disorders of the bones, joints, and their associated soft tissues, including ligaments, nerves and muscles. Excludes Trauma Surgery Service - see TREATMENT FUNCTION CODE  115 and Spinal Surgery Service - see TREATMENT FUNCTION CODE  108 For further information, see: British Society for Children's Orthopaedic Surgery (BSCOS)"
215,Paediatric Ear Nose and Throat Service,"Dedicated children's surgical SERVICES for the assessment, diagnosis, management and treatment of ear, nose and/or throat issues. Excludes Audiology Service - see TREATMENT FUNCTION CODE 840. For further information, see: British Association for Paediatric Otolaryngology"
216,Paediatric Ophthalmology Service,"Dedicated children's SERVICES for the surgical treatment of disorders and diseases of the eye. For further information, see: British & Irish Paediatric Ophthalmology and Strabismus Association"
217,Paediatric Oral and Maxillofacial Surgery Service,"Dedicated children's SERVICES providing diagnosis and surgical treatment of diseases, injuries and defects involving hard and soft tissues of the mouth, jaws, and neck. Excludes Paediatric Dentistry Services - see TREATMENT FUNCTION CODE 142. For further information, see: British Association of Oral & Maxillofacial Surgeons"
218,Paediatric Neurosurgery Service,"Dedicated children's SERVICES for the surgical treatment of disorders which affect any portion of the nervous system including the brain, spinal cord, peripheral nerves, and extra-cranial cerebrovascular system. For further information, see: Royal College of Surgeons - Neurosurgery"
219,Paediatric Plastic Surgery Service,"Dedicated children's SERVICES for correction or to restore form and function. In addition to cosmetic or aesthetic surgery, plastic surgery includes many types of reconstructive surgery, and the treatment of burns. For care given within specialist paediatric burn services, use Paediatric Burns Care Service - see TREATMENT FUNCTION CODE 220. For further information, see: NHS England: Specialised surgery in children"
220,Paediatric Burns Care Service,"Dedicated children's SERVICES for the surgical and non-surgical treatment of burns within recognised specialist burns units and associated outreach SERVICES only. Whilst this does not signify the CRITICAL CARE LEVEL, many PATIENTS will also come within the scope of the Critical Care Minimum Data Set. For further information, see: British Burn Association"
221,Paediatric Cardiac Surgery Service,"Dedicated children's SERVICES for the surgical treatment of the heart or great vessels. For further information, see: NHS England: E05. Congenital Heart Services"
222,Paediatric Thoracic Surgery Service,"Dedicated children's SERVICES  for the surgical treatment of diseases affecting organs inside the thorax (the chest). Generally, treatment of conditions of the lungs, chest wall, and diaphragm. For further information, see: British Association of Paediatric Surgeons - Thoracic"
223,Paediatric Epilepsy Service,"Dedicated children's SERVICES by CONSULTANT  paediatrician with expertise in epilepsy supported by specialist staff. For further information, see: Royal College of Paediatrics and Child Health - Epilepsy"
230,Paediatric Clinical Pharmacology Service,"Dedicated children's SERVICES providing advice and support locally and nationally regarding the introduction of new medicines, adverse drug reactions, poisoning and toxicity, and prescribing policies. For further information, see: Royal College of Paediatrics and Child Health - Drugs and medicines"
240,Paediatric Palliative Medicine Service,"Dedicated children's SERVICES improving the quality of life of PATIENTS and their families facing the problems associated with life-limiting illness. Prevention and relief of suffering by means of early identification, assessment and treatment of pain and other problems, physical, psychosocial and spiritual. For further information, see: Royal College of Paediatrics and Child Health - Palliative care"
241,Paediatric Pain Management Service,"Dedicated children's SERVICES for complex pain disorders requiring diagnosis and treatment by a specialist Multidisciplinary Team. For further information, see: Royal College of Paediatrics and Child Health - Pain management"
242,Paediatric Intensive Care Service,"Dedicated children's SERVICES only to be used by designated Paediatric Intensive Care Units. For further information, see: Royal College of Paediatrics and Child Health - Intensive care medicine"
250,Paediatric Hepatology Service,"Dedicated children's SERVICES for the treatment of disease of the liver. For further information, see: Royal College of Paediatrics and Child Health - Hepatology"
251,Paediatric Gastroenterology Service,"Dedicated children's SERVICES for the treatment of disorders of the digestive system. For further information, see: Royal College of Paediatrics and Child Health - Gastroenterology"
252,Paediatric Endocrinology Service,"Dedicated children's SERVICES  for the treatment of disorders of the endocrine system. Excludes Paediatric Diabetes Service - see TREATMENT FUNCTION CODES  263. For further information, see: British Society for Paediatric Endocrinology and Diabetes"
253,Paediatric Clinical Haematology Service,"Dedicated children's SERVICES  contributing to the diagnosis and management of diseases of the blood and bone marrow. May be consultative in other specialties including intensive care. Excludes Anticoagulant Service - see TREATMENT FUNCTION CODE  324. For further information, see: NHS England: Paediatric haematology"
254,Paediatric Audio Vestibular Medicine Service,"Dedicated children's SERVICES for the investigation, diagnosis and management of patients with disorders of balance, hearing, tinnitus and auditory communication. Excludes Audiology Service - see TREATMENT FUNCTION CODE  840. For further information, see: British Association of Paediatricians in Audiology"
255,Paediatric Clinical Immunology and Allergy Service,"Dedicated children's SERVICES for the treatment of disorders of the immune system and allergic disease. For further information, see: Royal College of Paediatrics and Child Health - Paediatric allergy, immunology and infectious diseases - sub-specialty"
256,Paediatric Infectious Diseases Service,"Dedicated children's SERVICES for the diagnosis and treatment of contagious or communicable diseases. For further information, see: Royal College of Paediatrics and Child Health - Paediatric allergy, immunology and infectious diseases - sub-specialty"
257,Paediatric Dermatology Service,"Dedicated children's SERVICES for the treatment of diseases of the skin. For further information, see: The British Society for Paediatric Dermatology (BSPD)"
258,Paediatric Respiratory Medicine Service,"Dedicated children's SERVICES for the diagnosis and treatment of respiratory conditions. Also known as Thoracic Medicine and Pulmonary Medicine. For further information, see: Royal College of Paediatrics and Child Health - Paediatric respiratory medicine - sub-specialty"
259,Paediatric Nephrology Service,"Dedicated children's SERVICES for the diagnosis and treatment of kidney conditions and abnormalities. Also known as Renal Medicine. For further information, see: Royal College of Paediatrics and Child Health - Nephrology"
260,Paediatric Medical Oncology Service,"Dedicated children's SERVICES for the diagnosis and treatment, typically with Chemotherapy, of PATIENTS with cancer. For further information, see: Royal College of Paediatrics and Child Health - Oncology"
261,Paediatric Inherited Metabolic Medicine Service,"Formerly known as Paediatric Metabolic Disease. Dedicated children's SERVICES for the diagnosis and management of inherited metabolic conditions utilising biochemistry and metabolic characteristics requiring the expertise of both the physician and chemical pathologist. For further information, see: Royal College of Paediatrics and Child Health - Inherited metabolic medicine"
262,Paediatric Rheumatology Service,"Dedicated children's SERVICES incorporating the investigation, multidisciplinary holistic management and rehabilitation of PATIENTS with a wide spectrum of disorders of the musculoskeletal system encompassing the locomotor apparatus, bone and connective tissues and blood vessels. For further information, see: Royal College of Paediatrics and Child Health - Rheumatology"
263,Paediatric Diabetes Service,"Formerly known as Paediatric Diabetes Medicine. Dedicated children's SERVICES  for the diagnosis, treatment and support of  PATIENTS with diabetes. For further information, see: Royal College of Paediatrics and Child Health - Diabetes"
264,Paediatric Cystic Fibrosis Service,"Dedicated multidisciplinary children's SERVICES  concerned with the diagnosis, assessment and management of PATIENTS with cystic fibrosis. This TREATMENT FUNCTION CODE should be used by recognised specialist centres only. For further information, see: NHS England: Specialised respiratory"
270,Paediatric Emergency Medicine Service,"Dedicated children's SERVICES to care for PATIENTS with urgent problems delivered as part of an Emergency Care Attendance. Excludes Trauma Surgery Service - see TREATMENT FUNCTION CODE  115. For further information, see: Royal College of Paediatrics and Child Health - Emergency Medicine"
280,Paediatric Interventional Radiology Service,"Dedicated children's SERVICES for the diagnosis and treatment of diseases utilising minimally invasive image-guided procedures. Not to be used for Diagnostic Imaging Service - see TREATMENT FUNCTION CODE  812. For further information, see: British Society of Interventional Radiology - What is Interventional Radiology"
290,Community Paediatric Service,"SERVICESproviding assessment and care to vulnerable children, including those with developmental disorders and disabilities, complex behavioural presentations, and those at risk of abuse or are being abused. Excludes Paediatric Neurodisability Service - see TREATMENT FUNCTION CODE 291. For further information, see: Royal College of Paediatrics and Child Health - Community child health - sub-specialty"
291,Paediatric Neurodisability Service,"Dedicated children's SERVICES for the diagnosis and treatment of Cerebral Palsy and non-progressive handicapping neurological conditions, with or without Learning Disability/ Intellectual Disability. For further information, see: Royal College of Paediatrics and Child Health - Neurodisability"
321,Paediatric Cardiology Service,"Dedicated children's SERVICES for diseases and abnormalities of the heart. Excludes Congenital Heart Disease Service - see TREATMENT FUNCTION CODE  331. For further information, see: Joint Royal Colleges of Physicians Training Board - Paediatric Cardiology"
421,Paediatric Neurology Service,"Dedicated children's SERVICES for diagnosis, management and medical treatment of conditions and diseases of the central nervous system, with appropriate facilities and support staff. Excludes Paediatric Epilepsy Service - see TREATMENT FUNCTION CODE 223. For further information, see: Royal College of Paediatrics and Child Health - Neurology"
Medical Specialties,,
180,Emergency Medicine Service,"Formerly known as Accident & Emergency. SERVICES to care for PATIENTS with urgent problems delivered as part of an Emergency Care Attendance. Excludes Trauma Surgery Service - see TREATMENT FUNCTION CODE  115. For further information, see: The Royal College of Emergency Medicine"
190,Anaesthetic Service,"SERVICES for PATIENTS  being assessed for anaesthesia, as well as the provision of sedation and anaesthesia for patients undergoing interventional radiology and radiotherapy. This can be used in out-patients only. Pain Management Service should be recorded in TREATMENT FUNCTION CODE 191. Intensive Care Medicine Service should be recorded in TREATMENT FUNCTION CODE 192. For further information, see: Royal college of Anaesthetists - Anaesthetists"
191,Pain Management Service,SERVICESfor complex pain disorders requiring diagnosis and treatment by a specialist Multidisciplinary Team
192,Intensive Care Medicine Service,"Formerly known as Critical Care Medicine. SERVICES using a body of specialist knowledge and practice concerned with the treatment of PATIENTS, with, at risk of, or recovering from potentially life-threatening failure of one or more of the body's organ systems. It includes the provision of organ system support, the investigation, diagnosis, and treatment of acute illness, systems management and PATIENT safety, ethics, end-of-life care, and the support of families. Typically, this will refer to CRITICAL CARE LEVEL 2 and 3 beds within the scope of the Critical Care Minimum Data Set. For further information, see: Faculty of Intensive Care Medicine"
200,Aviation and Space Medicine Service,"Also known as Aerospace Medicine Services. Aviation and Space Medicine SERVICES study all factors affecting the PERSON in flight. This may include pre-flight preparation and checks as well as inflight care to minimise the potentially harmful effects of their abnormal environment. For further information, see: Royal College of Physicians - Aviation and Space Medicine"
300,General Internal Medicine Service,"Formerly known as General Medicine. SERVICES include adults admitted as emergencies with acute medical problems, including multiple disorders. PATIENTS with problems that are not clearly within the remit of a particular medical specialty are referred for the opinion of a general physician. For further information, see: Joint Royal Colleges of Physicians Training Board - General Internal Medicine (GIM)"
301,Gastroenterology Service,"Screening, diagnostic and therapeutic endoscopy SERVICES including upper and lower gastrointestinal (GI) endoscopy and hepatobiliary endoscopy. Excludes Hepatology Service - see TREATMENT FUNCTION CODE 306."
302,Endocrinology Service,"The treatment of disorders of the endocrine system, excluding specific Diabetes Services - see TREATMENT FUNCTION CODE  307. For further information, see: Joint Royal Colleges of Physicians Training Board - Endocrinology and Diabetes Mellitus"
303,Clinical Haematology Service,"SERVICEScontributing to the diagnosis and management of diseases of the blood and bone marrow. May be consultative in other specialties including intensive care. Excludes Anticoagulant Service - see TREATMENT FUNCTION CODE 324. For further information, see: Joint Royal Colleges of Physicians Training Board - Haematology"
304,Clinical Physiology Service,"Physiological measurement. Excludes Clinical Neurophysiology Service - see TREATMENT FUNCTION CODE  401, Audiology Service - see TREATMENT FUNCTION CODE  840, Respiratory Physiology Service - see TREATMENT FUNCTION CODE  341, Cardiac Physiology Service - see TREATMENT FUNCTION CODE  675, Gastrointestinal Physiology Service - see TREATMENT FUNCTION CODE 677, Urological Physiology Service - see TREATMENT FUNCTION CODE 670, Vascular Physiology Service - see TREATMENT FUNCTION CODE  673 and Ophthalmic and Vision Science - see TREATMENT FUNCTION CODE  461. For further information, see: The Registration Council for Clinical Physiologists"
305,Clinical Pharmacology Service,"SERVICESundertaking and interpreting clinical investigations including clinical trials; optimising the therapeutic use of drugs; detection and analysis of adverse drug effects; contribution to medicines evaluation and management of poisoning. For further information, see: Joint Royal Colleges of Physicians Training Board - Clinical Pharmacology and Therapeutics (CPT)"
306,Hepatology Service,"Medical SERVICES for the diagnosis and treatment of liver disease. Also known as liver medicine. For hepatobiliary endoscopy, use Gastroenterology Service - see TREATMENT FUNCTION CODE 301"
307,Diabetes Service,"Formerly known as Diabetes Medicine. SERVICES to diagnose, treat and support PATIENTS with diabetes. For further information, see: Joint Royal Colleges of Physicians Training Board - Endocrinology and Diabetes Mellitus"
308,Blood and Marrow Transplantation Service,"SERVICESrecognised as specialist units and associated outreach services only. Includes pre- and post-operative specialised services for autologous, allogeneic or syngeneic Blood and Marrow Transplantation. For further information, see: British Society of Blood and Marrow Transplantation"
309,Haemophilia Service,"Specialist SERVICES for the diagnosis, treatment and management of haemophilia. For further information, see: NHS England: Blood and infection"
310,Audio Vestibular Medicine Service,"Formerly known as Audiological Medicine. SERVICES  concerned with the diagnosis and management of hearing and balance disorders, for example tinnitus, dysacusis and communication disorders. Rehabilitative/habilitative care is delivered by Multidisciplinary Teams and is aimed at improving the well-being and quality of life of the PATIENT concerned. Excludes Audiology Service - see TREATMENT FUNCTION CODE  840. For further information, see: Joint Royal College of Physicians Training Board - Audio vestibular Medicine"
311,Clinical Genetics Service,"SERVICES for the diagnosis and management of genetic disorders affecting individuals and their families. For further information, see: Clinical Genetics"
312,not a Treatment Function,
313,Clinical Immunology and Allergy Service,"SERVICESfor the diagnosis and management of PATIENTS with diseases resulting from disordered immunological mechanisms, and allergic disease (abnormal immune responses to external substances). Should only be used where there are no separate SERVICES for Clinical Immunology and Allergy. For separate services - See Clinical Immunology Service - TREATMENT FUNCTION CODE 316 and Allergy Service - TREATMENT FUNCTION CODE 317. For further information, see: Welcome to the British Society for Allergy & Clinical Immunology (BSACI)"
314,Rehabilitation Medicine Service,"Formerly known as Rehabilitation Service. SERVICES for the prevention, diagnosis, treatment and rehabilitation management of disabling conditions. Rehabilitation medicine is broadly divided into neurological rehabilitation, spinal cord injury, limb loss and prosthetics and/or musculoskeletal rehabilitation. Excludes Mental Health Recovery and Rehabilitation Service - see TREATMENT FUNCTION CODE  725, Cardiac Rehabilitation Service - see TREATMENT FUNCTION CODE  327, Pulmonary Rehabilitation Service - see TREATMENT FUNCTION CODE 342, Orthotics Service - See TREATMENT FUNCTION CODE  658 or Prosthetics Service - see TREATMENT FUNCTION CODE 657. For further information, see: Joint Royal Colleges of Physicians Training Board - Rehabilitation medicine"
315,Palliative Medicine Service,"SERVICESimproving the quality of life of PATIENTS and their families facing the problems associated with life-limiting illness and end of life care. Prevention and relief of suffering by means of early identification, assessment and treatment of pain and other physical, psychosocial and spiritual problems. For further information, see: Joint Royal College of Physicians - Specialty spotlight - palliative medicine"
316,Clinical Immunology Service,"SERVICESfor the diagnosis and management of PATIENTS with diseases resulting from disordered immunological mechanisms, and conditions in which immunological manipulations form an important part of therapy. Allergy SERVICES should be recorded against Allergy Service - see  TREATMENT FUNCTION CODE 317. For further information, see: Joint Royal College of Physicians Training Board - Immunology"
317,Allergy Service,"SERVICESfor the diagnosis and management of allergic disease (abnormal immune responses to external substances) and the exclusion of allergic causes in other conditions. For further information, see: Joint Royal College of Physicians Training Board - Allergy"
318,Intermediate Care Service,"SERVICESencompassing a range of multidisciplinary approaches, designed to safeguard independence by maximising rehabilitation and recovery after illness or injury. For further information, see: National Institute for Health and Care Excellence - Understanding intermediate care, including reablement"
319,Respite Care Service,"SERVICESproviding temporary care of a dependant PERSON, providing relief for their usual caregivers"
320,Cardiology Service,"SERVICESfor PATIENTS with heart disease covering a wide range of clinical activities. Management can involve interventional treatment, cardiac imaging, preventative and therapeutic options. This includes both diagnostic and interventional procedures in the cardiac catheterisation laboratory. For further information, see: Royal College of Physicians - Cardiology"
322,Clinical Microbiology Service,"SERVICES for the diagnosis, management and treatment of PATIENTS  with diseases caused by bacteria, viruses, fungi and parasites."
323,Spinal Injuries Service,SERVICESfor non-surgical management of issues of the back and spine. To be used by recognised specialist units and associated outreach SERVICES only. Excludes Spinal Surgery Service - see TREATMENT FUNCTION CODE  108
324,Anticoagulant Service,"SERVICES providing the monitoring and control of anticoagulant therapy, including the initiation and/or supervision of oral anticoagulant therapy and the determination of anticoagulant dosage. This can be used in out-patients only"
325,Sport and Exercise Medicine Service,"Specific SERVICES providing diagnosis and management of medical problems caused by physical activity, the prevention of related injury and disease and the role of exercise in disease treatment. Excludes Trauma and Orthopaedic Service - see TREATMENT FUNCTION CODE 110, Orthopaedic Surgery Service - see TREATMENT FUNCTION CODE 111, and Trauma Surgery Service - see TREATMENT FUNCTION CODE 115. For further information, see: Joint Royal Colleges of Physicians Training Board - Sport and Exercise Medicine"
326,Acute Internal Medicine Service,"SERVICESconcerned with the assessment, diagnosis and management of adults presenting to secondary care with acute medical illness. For further information, see: Acute Internal Medicine"
327,Cardiac Rehabilitation Service,SERVICESfor PATIENTS recovering from heart-related conditions such as heart attacks or procedures such as coronary artery bypass surgery to ensure that they achieve their full potential in terms of physical and psychological health
328,Stroke Medicine Service,"SERVICESfor diagnosis, investigation, treatment and care of stroke PATIENTS. Excludes out-patients for Transient Ischaemic Attack Service - see TREATMENT FUNCTION CODE 329. For further information, see: Joint Royal Colleges of Physicians Training Board - Stroke Medicine (sub-specialty)"
329,Transient Ischaemic Attack Service,"A multidisciplinary out-patient  SERVICE for rapid diagnosis and treatment of PATIENTS presenting with suspected Transient Ischaemic Attack and mini-strokes to minimise the chance of a full stroke occurring and maximise the chances of independent living after a stroke. For further information, see: National Institute for Health and Care Excellence - Stroke and transient ischaemic attack"
330,Dermatology Service,"SERVICESfor the treatment of diseases of the skin. For further information, see: Joint Royal Colleges of Physicians Training Board - Dermatology"
331,Congenital Heart Disease Service,"The management and treatment of congenital heart disease, including the ongoing care of children into adulthood. For further information, see: Joint Royal Colleges of Physicians Training Board - Paediatric cardiology"
333,Rare Disease Service,"SERVICESfor rare diseases, many of which are present at birth and are either caused by a genetic problem or deficiencies or exposures to substances around the time of conception or during pregnancy. This TREATMENT FUNCTION CODE should be used by designated specialist centres only. For further information, see: National Congenital Anomaly and Rare Disease Registration Service"
335,Inherited Metabolic Medicine Service,"SERVICESfor the diagnosis and management of inherited metabolic conditions utilising biochemistry and metabolic characteristics requiring the expertise of both the physician and chemical pathologist. For further information, see: Joint Royal Colleges of Physicians Training Board - Metabolic Medicine"
340,Respiratory Medicine Service,"Respiratory Medicine is also known as Thoracic Medicine and Pulmonary Medicine. SERVICES for the investigation, diagnosis, management and treatment of PATIENTS  with respiratory complaints. Excludes acute respiratory failure and adult respiratory distress syndrome (ARDS) - see Intensive Care Medicine Service TREATMENT FUNCTION CODE 192 and Respiratory Physiology Service - see TREATMENT FUNCTION CODE 341. For further information, see: Joint Royal Colleges of Physicians Training Board - Respiratory Medicine"
341,Respiratory Physiology Service,"SERVICESfor the physiological measurement of the function of the respiratory system. Excludes Sleep Medicine Service - see TREATMENT FUNCTION CODE  347. For further information, see: Association for Respiratory Technology & Physiology"
